Memory       Predicted
128           68.42
192           59.49
256           53.86
320           49.87
384           46.83
448           44.40
512           42.40
576           40.71
640           39.26
704           37.99
768           36.86
832           35.86
896           34.95
960           34.13
1024          33.38
1088          32.69
1152          32.05
1216          31.45
1280          30.90
1344          30.39
1408          29.90
1472          29.45
1536          29.02
1600          28.61
1664          28.23
1728          27.86
1792          27.51
1856          27.18
1920          26.87
1984          26.56
2048          26.27
2112          26.00
2176          25.73
2240          25.47
2304          25.23
2368          24.99
2432          24.76
2496          24.54
2560          24.33
2624          24.12
2688          23.92
2752          23.73
2816          23.54
2880          23.36
2944          23.18
3008          23.01
