Memory       Predicted
384           1156.51
448           1058.12
512           979.68
576           915.33
640           861.36
704           815.29
768           775.38
832           740.39
896           709.41
960           681.73
1024          656.82
1088          634.25
1152          613.68
1216          594.84
1280          577.50
1344          561.47
1408          546.61
1472          532.77
1536          519.85
1600          507.75
1664          496.39
1728          485.70
1792          475.62
1856          466.09
1920          457.07
1984          448.50
2048          440.36
2112          432.62
2176          425.23
2240          418.18
2304          411.44
2368          404.99
2432          398.81
2496          392.88
2560          387.18
2624          381.70
2688          376.44
2752          371.36
2816          366.47
2880          361.75
2944          357.19
3008          352.79
