Memory       Predicted
128           117.46
192           103.29
256           94.29
320           87.85
384           82.91
448           78.96
512           75.69
576           72.91
640           70.52
704           68.42
768           66.56
832           64.89
896           63.38
960           62.01
1024          60.75
1088          59.60
1152          58.53
1216          57.53
1280          56.60
1344          55.74
1408          54.92
1472          54.15
1536          53.43
1600          52.74
1664          52.09
1728          51.47
1792          50.88
1856          50.31
1920          49.78
1984          49.26
2048          48.77
2112          48.29
2176          47.84
2240          47.40
2304          46.98
2368          46.57
2432          46.18
2496          45.80
2560          45.44
2624          45.08
2688          44.74
2752          44.41
2816          44.08
2880          43.77
2944          43.47
3008          43.17
