Memory       Predicted
320           1814.69
384           1636.52
448           1499.60
512           1390.29
576           1300.51
640           1225.11
704           1160.69
768           1104.83
832           1055.83
896           1012.40
960           973.57
1024          938.60
1088          906.89
1152          877.98
1216          851.49
1280          827.09
1344          804.53
1408          783.59
1472          764.10
1536          745.88
1600          728.82
1664          712.80
1728          697.71
1792          683.48
1856          670.02
1920          657.27
1984          645.16
2048          633.66
2112          622.70
2176          612.25
2240          602.28
2304          592.74
2368          583.60
2432          574.85
2496          566.45
2560          558.38
2624          550.61
2688          543.15
2752          535.95
2816          529.01
2880          522.32
2944          515.85
3008          509.60
