Memory       Predicted
128           98.83
192           88.62
256           82.02
320           77.25
384           73.55
448           70.56
512           68.07
576           65.95
640           64.11
704           62.49
768           61.04
832           59.74
896           58.56
960           57.49
1024          56.50
1088          55.58
1152          54.73
1216          53.94
1280          53.21
1344          52.51
1408          51.86
1472          51.24
1536          50.66
1600          50.11
1664          49.58
1728          49.08
1792          48.60
1856          48.15
1920          47.71
1984          47.29
2048          46.89
2112          46.50
2176          46.13
2240          45.77
2304          45.43
2368          45.09
2432          44.77
2496          44.46
2560          44.16
2624          43.86
2688          43.58
2752          43.31
2816          43.04
2880          42.78
2944          42.53
3008          42.28
