Memory       Predicted
320           1685.60
384           1515.67
448           1385.44
512           1281.70
576           1196.67
640           1125.39
704           1064.58
768           1011.94
832           965.82
896           924.99
960           888.53
1024          855.73
1088          826.02
1152          798.96
1216          774.17
1280          751.37
1344          730.31
1408          710.77
1472          692.59
1536          675.63
1600          659.74
1664          644.83
1728          630.80
1792          617.57
1856          605.07
1920          593.23
1984          582.00
2048          571.33
2112          561.18
2176          551.50
2240          542.26
2304          533.43
2368          524.98
2432          516.88
2496          509.11
2560          501.66
2624          494.49
2688          487.59
2752          480.95
2816          474.55
2880          468.37
2944          462.41
3008          456.65
