Memory       Predicted
320           2598.86
384           2347.09
448           2153.34
512           1998.49
576           1871.17
640           1764.17
704           1672.65
768           1593.26
832           1523.55
896           1461.74
960           1406.45
1024          1356.62
1088          1311.42
1152          1270.19
1216          1232.38
1280          1197.56
1344          1165.34
1408          1135.43
1472          1107.57
1536          1081.54
1600          1057.14
1664          1034.22
1728          1012.64
1792          992.26
1856          972.99
1920          954.73
1984          937.39
2048          920.90
2112          905.20
2176          890.22
2240          875.92
2304          862.24
2368          849.13
2432          836.57
2496          824.51
2560          812.93
2624          801.79
2688          791.06
2752          780.73
2816          770.76
2880          761.14
2944          751.85
3008          742.86
