Memory       Predicted
320           716.06
384           633.06
448           570.44
512           521.22
576           481.35
640           448.27
704           420.32
768           396.32
832           375.45
896           357.11
960           340.85
1024          326.30
1088          313.21
1152          301.34
1216          290.53
1280          280.63
1344          271.53
1408          263.13
1472          255.35
1536          248.11
1600          241.36
1664          235.04
1728          229.13
1792          223.57
1856          218.33
1920          213.38
1984          208.71
2048          204.28
2112          200.07
2176          196.08
2240          192.28
2304          188.65
2368          185.19
2432          181.88
2496          178.72
2560          175.69
2624          172.78
2688          169.99
2752          167.31
2816          164.73
2880          162.25
2944          159.85
3008          157.55
