Memory       Predicted
320           2628.44
384           2376.98
448           2183.24
512           2028.22
576           1900.65
640           1793.35
704           1701.51
768           1621.78
832           1551.74
896           1489.60
960           1433.98
1024          1383.83
1088          1338.32
1152          1296.79
1216          1258.69
1280          1223.58
1344          1191.09
1408          1160.92
1472          1132.80
1536          1106.52
1600          1081.89
1664          1058.73
1728          1036.92
1792          1016.33
1856          996.85
1920          978.38
1984          960.85
2048          944.17
2112          928.28
2176          913.12
2240          898.64
2304          884.78
2368          871.51
2432          858.79
2496          846.57
2560          834.83
2624          823.54
2688          812.67
2752          802.19
2816          792.08
2880          782.32
2944          772.90
3008          763.78
