Memory       Predicted
320           2197.05
384           1974.43
448           1803.90
512           1668.13
576           1556.89
640           1463.67
704           1384.17
768           1315.36
832           1255.09
896           1201.76
960           1154.14
1024          1111.31
1088          1072.52
1152          1037.20
1216          1004.85
1280          975.10
1344          947.62
1408          922.13
1472          898.42
1536          876.30
1600          855.58
1664          836.14
1728          817.86
1792          800.61
1856          784.32
1920          768.89
1984          754.26
2048          740.36
2112          727.13
2176          714.52
2240          702.48
2304          690.98
2368          679.98
2432          669.43
2496          659.32
2560          649.61
2624          640.28
2688          631.30
2752          622.66
2816          614.33
2880          606.29
2944          598.53
3008          591.04
