Memory       Predicted
320           2528.79
384           2292.16
448           2109.46
512           1963.01
576           1842.30
640           1740.62
704           1653.48
768           1577.75
832           1511.14
896           1451.99
960           1399.00
1024          1351.19
1088          1307.76
1152          1268.09
1216          1231.68
1280          1198.11
1344          1167.02
1408          1138.13
1472          1111.19
1536          1086.00
1600          1062.37
1664          1040.15
1728          1019.22
1792          999.44
1856          980.72
1920          962.96
1984          946.10
2048          930.05
2112          914.76
2176          900.16
2240          886.21
2304          872.86
2368          860.07
2432          847.79
2496          836.01
2560          824.68
2624          813.78
2688          803.28
2752          793.16
2816          783.40
2880          773.97
2944          764.86
3008          756.04
