Memory       Predicted
320           326.16
384           298.52
448           276.98
512           259.59
576           245.15
640           232.92
704           222.39
768           213.18
832           205.05
896           197.80
960           191.28
1024          185.38
1088          180.00
1152          175.07
1216          170.54
1280          166.34
1344          162.44
1408          158.81
1472          155.42
1536          152.24
1600          149.25
1664          146.44
1728          143.78
1792          141.26
1856          138.87
1920          136.60
1984          134.44
2048          132.39
2112          130.42
2176          128.55
2240          126.75
2304          125.03
2368          123.37
2432          121.79
2496          120.26
2560          118.79
2624          117.37
2688          116.01
2752          114.69
2816          113.41
2880          112.18
2944          110.99
3008          109.84
