Memory       Predicted
128           73.46
192           67.96
256           64.30
320           61.60
384           59.48
448           57.75
512           56.28
576           55.02
640           53.92
704           52.94
768           52.06
832           51.27
896           50.55
960           49.88
1024          49.27
1088          48.69
1152          48.16
1216          47.66
1280          47.20
1344          46.76
1408          46.34
1472          45.95
1536          45.57
1600          45.22
1664          44.88
1728          44.55
1792          44.24
1856          43.95
1920          43.66
1984          43.39
2048          43.12
2112          42.87
2176          42.62
2240          42.39
2304          42.16
2368          41.94
2432          41.72
2496          41.51
2560          41.31
2624          41.12
2688          40.93
2752          40.74
2816          40.56
2880          40.39
2944          40.22
3008          40.05
