Memory       Predicted
128           157.55
192           148.42
256           142.27
320           137.68
384           134.03
448           131.02
512           128.47
576           126.27
640           124.32
704           122.59
768           121.03
832           119.62
896           118.32
960           117.12
1024          116.02
1088          114.98
1152          114.02
1216          113.12
1280          112.27
1344          111.46
1408          110.70
1472          109.98
1536          109.30
1600          108.64
1664          108.02
1728          107.42
1792          106.84
1856          106.29
1920          105.76
1984          105.26
2048          104.76
2112          104.29
2176          103.83
2240          103.39
2304          102.96
2368          102.55
2432          102.15
2496          101.76
2560          101.38
2624          101.01
2688          100.65
2752          100.31
2816          99.97
2880          99.64
2944          99.32
3008          99.00
