Memory       Predicted
128           56.70
192           47.84
256           42.40
320           38.61
384           35.77
448           33.53
512           31.70
576           30.17
640           28.87
704           27.74
768           26.74
832           25.86
896           25.07
960           24.35
1024          23.70
1088          23.11
1152          22.56
1216          22.06
1280          21.59
1344          21.15
1408          20.74
1472          20.36
1536          20.00
1600          19.66
1664          19.34
1728          19.03
1792          18.75
1856          18.47
1920          18.21
1984          17.96
2048          17.72
2112          17.50
2176          17.28
2240          17.07
2304          16.87
2368          16.68
2432          16.49
2496          16.31
2560          16.14
2624          15.97
2688          15.81
2752          15.66
2816          15.51
2880          15.36
2944          15.22
3008          15.08
