Memory       Predicted
128           91.71
192           81.45
256           74.88
320           70.15
384           66.50
448           63.57
512           61.14
576           59.07
640           57.27
704           55.70
768           54.30
832           53.04
896           51.90
960           50.87
1024          49.92
1088          49.04
1152          48.22
1216          47.47
1280          46.76
1344          46.10
1408          45.48
1472          44.89
1536          44.33
1600          43.81
1664          43.31
1728          42.83
1792          42.38
1856          41.94
1920          41.53
1984          41.13
2048          40.75
2112          40.39
2176          40.04
2240          39.70
2304          39.37
2368          39.06
2432          38.76
2496          38.46
2560          38.18
2624          37.90
2688          37.64
2752          37.38
2816          37.13
2880          36.89
2944          36.65
3008          36.42
