Memory       Predicted
320           414.27
384           370.48
448           337.08
512           310.59
576           288.96
640           270.89
704           255.52
768           242.26
832           230.66
896           220.42
960           211.29
1024          203.10
1088          195.69
1152          188.95
1216          182.80
1280          177.14
1344          171.92
1408          167.09
1472          162.60
1536          158.41
1600          154.50
1664          150.83
1728          147.38
1792          144.13
1856          141.06
1920          138.16
1984          135.42
2048          132.81
2112          130.32
2176          127.96
2240          125.71
2304          123.56
2368          121.50
2432          119.53
2496          117.64
2560          115.83
2624          114.09
2688          112.42
2752          110.81
2816          109.26
2880          107.76
2944          106.32
3008          104.93
