Memory       Predicted
384           963.93
448           878.62
512           810.85
576           755.43
640           709.07
704           669.59
768           635.46
832           605.61
896           579.23
960           555.70
1024          534.55
1088          515.42
1152          498.01
1216          482.09
1280          467.45
1344          453.94
1408          441.42
1472          429.78
1536          418.93
1600          408.77
1664          399.25
1728          390.29
1792          381.85
1856          373.88
1920          366.34
1984          359.19
2048          352.40
2112          345.94
2176          339.79
2240          333.92
2304          328.31
2368          322.95
2432          317.81
2496          312.89
2560          308.17
2624          303.63
2688          299.26
2752          295.06
2816          291.01
2880          287.10
2944          283.33
3008          279.69
