Memory       Predicted
320           2111.05
384           1873.58
448           1693.77
512           1552.02
576           1436.86
640           1341.11
704           1260.01
768           1190.25
832           1129.50
896           1076.02
960           1028.51
1024          985.97
1088          947.61
1152          912.81
1216          881.08
1280          851.99
1344          825.21
1408          800.46
1472          777.51
1536          756.15
1600          736.21
1664          717.55
1728          700.04
1792          683.58
1856          668.05
1920          653.39
1984          639.52
2048          626.37
2112          613.88
2176          602.00
2240          590.69
2304          579.89
2368          569.59
2432          559.73
2496          550.30
2560          541.25
2624          532.57
2688          524.24
2752          516.23
2816          508.52
2880          501.09
2944          493.94
3008          487.03
