Memory       Predicted
128           43.54
192           38.00
256           34.51
320           32.02
384           30.12
448           28.60
512           27.35
576           26.29
640           25.38
704           24.58
768           23.87
832           23.24
896           22.67
960           22.15
1024          21.68
1088          21.24
1152          20.84
1216          20.46
1280          20.12
1344          19.79
1408          19.48
1472          19.20
1536          18.92
1600          18.67
1664          18.42
1728          18.19
1792          17.97
1856          17.76
1920          17.56
1984          17.37
2048          17.18
2112          17.01
2176          16.84
2240          16.67
2304          16.52
2368          16.37
2432          16.22
2496          16.08
2560          15.94
2624          15.81
2688          15.69
2752          15.56
2816          15.44
2880          15.33
2944          15.21
3008          15.10
