Memory       Predicted
128           57.73
192           47.70
256           41.66
320           37.50
384           34.42
448           32.01
512           30.06
576           28.44
640           27.06
704           25.88
768           24.84
832           23.92
896           23.10
960           22.36
1024          21.69
1088          21.08
1152          20.52
1216          20.01
1280          19.53
1344          19.09
1408          18.67
1472          18.29
1536          17.92
1600          17.58
1664          17.26
1728          16.96
1792          16.67
1856          16.40
1920          16.14
1984          15.89
2048          15.65
2112          15.43
2176          15.21
2240          15.01
2304          14.81
2368          14.62
2432          14.44
2496          14.26
2560          14.09
2624          13.93
2688          13.77
2752          13.62
2816          13.47
2880          13.33
2944          13.20
3008          13.06
