Memory       Predicted
128           50.00
192           42.11
256           37.29
320           33.93
384           31.41
448           29.42
512           27.81
576           26.45
640           25.30
704           24.30
768           23.42
832           22.64
896           21.94
960           21.31
1024          20.74
1088          20.21
1152          19.73
1216          19.28
1280          18.87
1344          18.48
1408          18.12
1472          17.78
1536          17.47
1600          17.17
1664          16.88
1728          16.62
1792          16.36
1856          16.12
1920          15.89
1984          15.67
2048          15.46
2112          15.26
2176          15.07
2240          14.89
2304          14.71
2368          14.54
2432          14.38
2496          14.22
2560          14.07
2624          13.92
2688          13.78
2752          13.65
2816          13.51
2880          13.39
2944          13.26
3008          13.14
