Memory       Predicted
128           49.79
192           42.71
256           38.30
320           35.20
384           32.85
448           30.99
512           29.47
576           28.18
640           27.08
704           26.12
768           25.27
832           24.52
896           23.84
960           23.23
1024          22.67
1088          22.15
1152          21.68
1216          21.24
1280          20.83
1344          20.45
1408          20.09
1472          19.76
1536          19.44
1600          19.14
1664          18.86
1728          18.59
1792          18.34
1856          18.10
1920          17.87
1984          17.65
2048          17.44
2112          17.23
2176          17.04
2240          16.85
2304          16.68
2368          16.50
2432          16.34
2496          16.18
2560          16.02
2624          15.87
2688          15.73
2752          15.59
2816          15.46
2880          15.33
2944          15.20
3008          15.08
