Memory       Predicted
320           1702.76
384           1526.65
448           1392.04
512           1285.07
576           1197.55
640           1124.33
704           1061.96
768           1008.05
832           960.87
896           919.17
960           881.97
1024          848.53
1088          818.28
1152          790.75
1216          765.56
1280          742.40
1344          721.02
1408          701.22
1472          682.80
1536          665.62
1600          649.54
1664          634.47
1728          620.29
1792          606.93
1856          594.31
1920          582.36
1984          571.04
2048          560.29
2112          550.06
2176          540.31
2240          531.01
2304          522.13
2368          513.63
2432          505.50
2496          497.70
2560          490.21
2624          483.01
2688          476.09
2752          469.43
2816          463.01
2880          456.82
2944          450.85
3008          445.08
