Memory       Predicted
128           70.45
192           58.70
256           51.57
320           46.64
384           42.97
448           40.09
512           37.75
576           35.80
640           34.14
704           32.71
768           31.45
832           30.34
896           29.34
960           28.45
1024          27.63
1088          26.89
1152          26.21
1216          25.58
1280          24.99
1344          24.45
1408          23.94
1472          23.47
1536          23.02
1600          22.60
1664          22.21
1728          21.83
1792          21.48
1856          21.14
1920          20.82
1984          20.52
2048          20.23
2112          19.95
2176          19.68
2240          19.43
2304          19.18
2368          18.95
2432          18.72
2496          18.50
2560          18.29
2624          18.09
2688          17.90
2752          17.71
2816          17.53
2880          17.35
2944          17.18
3008          17.01
