Memory       Predicted
320           1840.93
384           1652.16
448           1507.74
512           1392.89
576           1298.86
640           1220.15
704           1153.06
768           1095.03
832           1044.24
896           999.32
960           959.23
1024          923.19
1088          890.57
1152          860.87
1216          833.69
1280          808.70
1344          785.62
1408          764.23
1472          744.34
1536          725.78
1600          708.41
1664          692.11
1728          676.78
1792          662.34
1856          648.69
1920          635.77
1984          623.52
2048          611.88
2112          600.81
2176          590.26
2240          580.20
2304          570.58
2368          561.38
2432          552.56
2496          544.11
2560          536.00
2624          528.20
2688          520.70
2752          513.48
2816          506.53
2880          499.82
2944          493.34
3008          487.08
