Memory       Predicted
384           1420.06
448           1295.19
512           1195.93
576           1114.70
640           1046.74
704           988.83
768           938.76
832           894.95
896           856.21
960           821.66
1024          790.59
1088          762.49
1152          736.90
1216          713.49
1280          691.97
1344          672.10
1408          653.69
1472          636.56
1536          620.59
1600          605.65
1664          591.63
1728          578.44
1792          566.02
1856          554.28
1920          543.17
1984          532.64
2048          522.64
2112          513.12
2176          504.06
2240          495.41
2304          487.14
2368          479.24
2432          471.67
2496          464.41
2560          457.44
2624          450.75
2688          444.31
2752          438.11
2816          432.13
2880          426.37
2944          420.82
3008          415.45
