Memory       Predicted
512           1545.94
576           1476.00
640           1416.13
704           1364.07
768           1318.21
832           1277.39
896           1240.72
960           1207.53
1024          1177.29
1088          1149.57
1152          1124.03
1216          1100.40
1280          1078.44
1344          1057.95
1408          1038.79
1472          1020.80
1536          1003.86
1600          987.89
1664          972.78
1728          958.45
1792          944.85
1856          931.91
1920          919.58
1984          907.80
2048          896.55
2112          885.77
2176          875.44
2240          865.52
2304          855.99
2368          846.82
2432          837.99
2496          829.48
2560          821.27
2624          813.34
2688          805.67
2752          798.25
2816          791.07
2880          784.12
2944          777.37
3008          770.83
