Memory       Predicted
512           1241.21
576           1177.54
640           1123.36
704           1076.50
768           1035.43
832           999.03
896           966.47
960           937.12
1024          910.47
1088          886.12
1152          863.76
1216          843.14
1280          824.02
1344          806.24
1408          789.65
1472          774.11
1536          759.52
1600          745.78
1664          732.82
1728          720.56
1792          708.94
1856          697.90
1920          687.40
1984          677.40
2048          667.85
2112          658.73
2176          650.00
2240          641.63
2304          633.60
2368          625.88
2432          618.46
2496          611.32
2560          604.44
2624          597.81
2688          591.40
2752          585.21
2816          579.23
2880          573.44
2944          567.83
3008          562.40
