Memory       Predicted
128          28.87
192          27.06
256          25.84
320          24.94
384          24.22
448          23.63
512          23.14
576          22.70
640          22.33
704          21.99
768          21.68
832          21.41
896          21.16
960          20.93
1024          20.71
1088          20.51
1152          20.33
1216          20.15
1280          19.99
1344          19.83
1408          19.68
1472          19.54
1536          19.41
1600          19.29
1664          19.17
1728          19.05
1792          18.94
1856          18.83
1920          18.73
1984          18.64
2048          18.54
2112          18.45
2176          18.36
2240          18.28
2304          18.20
2368          18.12
2432          18.04
2496          17.96
2560          17.89
2624          17.82
2688          17.75
2752          17.69
2816          17.62
2880          17.56
2944          17.50
3008          17.44
