Memory       Predicted
128           39.21
192           36.22
256           34.24
320           32.78
384           31.63
448           30.69
512           29.90
576           29.22
640           28.62
704           28.09
768           27.62
832           27.19
896           26.80
960           26.44
1024          26.11
1088          25.80
1152          25.51
1216          25.25
1280          24.99
1344          24.76
1408          24.53
1472          24.32
1536          24.12
1600          23.93
1664          23.74
1728          23.57
1792          23.40
1856          23.24
1920          23.09
1984          22.94
2048          22.80
2112          22.66
2176          22.53
2240          22.40
2304          22.28
2368          22.16
2432          22.05
2496          21.93
2560          21.83
2624          21.72
2688          21.62
2752          21.52
2816          21.42
2880          21.33
2944          21.24
3008          21.15
