Memory       Predicted
320           198.37
384           182.67
448           170.36
512           160.38
576           152.06
640           144.98
704           138.86
768           133.50
832           128.75
896           124.51
960           120.68
1024          117.21
1088          114.04
1152          111.13
1216          108.44
1280          105.96
1344          103.64
1408          101.49
1472          99.47
1536          97.57
1600          95.78
1664          94.10
1728          92.51
1792          91.00
1856          89.56
1920          88.20
1984          86.90
2048          85.66
2112          84.48
2176          83.35
2240          82.26
2304          81.22
2368          80.22
2432          79.26
2496          78.33
2560          77.44
2624          76.58
2688          75.75
2752          74.95
2816          74.17
2880          73.42
2944          72.69
3008          71.99
