Memory       Predicted
128           424.86
192           396.10
256           376.88
320           362.62
384           351.37
448           342.13
512           334.33
576           327.59
640           321.68
704           316.42
768           311.70
832           307.41
896           303.50
960           299.90
1024          296.57
1088          293.48
1152          290.60
1216          287.89
1280          285.35
1344          282.96
1408          280.69
1472          278.54
1536          276.50
1600          274.56
1664          272.70
1728          270.93
1792          269.23
1856          267.60
1920          266.04
1984          264.53
2048          263.09
2112          261.69
2176          260.34
2240          259.04
2304          257.78
2368          256.57
2432          255.39
2496          254.24
2560          253.13
2624          252.05
2688          251.01
2752          249.99
2816          249.00
2880          248.03
2944          247.09
3008          246.17
