Memory       Predicted
128           108.64
192           97.38
256           90.11
320           84.85
384           80.78
448           77.49
512           74.74
576           72.41
640           70.38
704           68.59
768           67.00
832           65.57
896           64.27
960           63.09
1024          62.00
1088          60.99
1152          60.06
1216          59.19
1280          58.38
1344          57.61
1408          56.89
1472          56.22
1536          55.57
1600          54.97
1664          54.39
1728          53.84
1792          53.31
1856          52.81
1920          52.33
1984          51.87
2048          51.42
2112          51.00
2176          50.59
2240          50.20
2304          49.82
2368          49.45
2432          49.10
2496          48.75
2560          48.42
2624          48.10
2688          47.79
2752          47.49
2816          47.19
2880          46.91
2944          46.63
3008          46.36
