-----------------------S1---------------------

Power Regression: 
389.74 x^ -0.42  (R^2 = 0.88)

-------------RESULTS----------------
Memory       Measured       Predicted
1600          15.30         17.58
1664          18.64         17.26
1728          18.36         16.96
1792          16.09         16.67
1856          16.40         16.40
1920          15.00         16.14
1984          14.08         15.89
2048          15.04         15.65
2112          15.69         15.43
2176          16.14         15.21
2240          15.20         15.01
2304          16.45         14.81
2368          15.33         14.62
2432          15.16         14.44
2496          14.87         14.26
2560          14.25         14.09
2624          18.76         13.93
2688          17.16         13.77
2752          15.41         13.62
2816          15.65         13.47
2880          16.87         13.33
2944          14.60         13.20
3008          17.70         13.06

Session Time: 19 dk

-----------------------S7---------------------

Power Regression: 
312.37 x^ -0.38  (R^2 = 0.61)

-------------RESULTS----------------
Memory       Measured       Predicted

128           85.34         49.79
192           79.10         42.71
256           33.31         38.30
320           28.58         35.20
384           29.97         32.85
448           26.74         30.99
512           23.95         29.47
576           25.26         28.18
640           18.51         27.08
704           16.98         26.12
768           20.55         25.27
832           21.07         24.52
896           16.56         23.84
960           19.23         23.23
1024          120.16        22.67
1088          19.66         22.15
1152          16.08         21.68
1216          17.89         21.24
1280          16.67         20.83
1344          16.96         20.45
1408          18.76         20.09
1472          16.70         19.76
1536          20.21         19.44
1600          18.05         19.14
1664          16.32         18.86
1728          16.81         18.59
1792          16.29         18.34
1856          16.74         18.10
1920          15.70         17.87
1984          17.81         17.65
2048          19.27         17.44
2112          18.16         17.23
2176          17.35         17.04
2240          15.84         16.85
2304          19.54         16.68
2368          17.15         16.50
2432          16.64         16.34
2496          23.71         16.18
2560          16.50         16.02
2624          16.88         15.87
2688          17.14         15.73
2752          18.10         15.59
2816          17.32         15.46
2880          16.99         15.33
2944          16.96         15.20
3008          16.64         15.08

Session Time: 20 dk

-----------------------S8---------------------

Power Regression: 
982.87 x^ -0.17  (R^2 = 0.75)

-------------RESULTS----------------
Memory       Measured       Predicted

128           606.07         424.86
192           462.96         396.10
