-----------------------S1---------------------

Power Regression: 
389.74 x^ -0.42  (R^2 = 0.88)

-------------RESULTS----------------
Memory       Measured       Predicted
2944          100.14         99.32
3008          204.56         99.00

Session Time: 21 dk

-----------------------S25---------------------

Power Regression: 
186.62 x^ -0.19  (R^2 = 0.86)

-------------RESULTS----------------
Memory       Measured       Predicted

128           85.69         73.46
192           68.07         67.96
256           71.05         64.30
320           43.85         61.60
384           58.84         59.48
448           68.51         57.75
512           61.85         56.28
576           57.70         55.02
640           55.60         53.92
704           51.02         52.94
768           48.67         52.06
832           51.19         51.27
896           48.89         50.55
960           46.30         49.88
1024          50.11         49.27
1088          44.27         48.69
1152          48.96         48.16
1216          46.55         47.66
1280          42.67         47.20
1344          42.13         46.76
1408          49.18         46.34
1472          44.29         45.95
1536          42.72         45.57
1600          42.28         45.22
1664          39.00         44.88
1728          43.10         44.55
1792          46.23         44.24
1856          40.27         43.95
1920          43.33         43.66
1984          45.23         43.39
2048          41.68         43.12
2112          41.80         42.87
2176          44.68         42.62
2240          40.15         42.39
2304          44.00         42.16
2368          37.46         41.94
2432          44.04         41.72
2496          41.73         41.51
2560          43.61         41.31
2624          41.12         41.12
2688          40.24         40.93
2752          45.92         40.74
2816          43.65         40.56
2880          40.08         40.39
2944          43.40         40.22
3008          47.71         40.05

Session Time: 20 dk

-----------------------S26---------------------

Power Regression: 
546.97 x^ -0.32  (R^2 = 0.76)

-------------RESULTS----------------
Memory       Measured       Predicted

128           210.24        117.46
192           146.41        103.29
256           113.29        94.29
320           83.35         87.85
384           72.64         82.91
448           76.53         78.96
512           63.23         75.69
576           54.54         72.91
640           59.91         70.52
704           53.52         68.42
768           51.16         66.56
832           50.32         64.89
896           68.90         63.38
960           51.19         62.01
1024          52.57         60.75
1088          60.45         59.60
1152          51.64         58.53
1216          50.83         57.53
1280          46.41         56.60
1344          44.92         55.74
1408          45.97         54.92
1472          55.23         54.15
1536          54.23         53.43
1600          54.46         52.74
1664          51.24         52.09
1728          45.68         51.47
1792          49.59         50.88
1856          45.40         50.31
1920          53.05         49.78
1984          51.87         49.26
2048          45.72         48.77
2112          46.68         48.29
2176          49.15         47.84
2240          48.55         47.40
2304          44.24         46.98
2368          54.46         46.57
2432          45.37         46.18
2496          57.34         45.80
2560          54.88         45.44
2624          49.75         45.08
2688          51.67         44.74
2752          62.68         44.41
2816          50.64         44.08
2880          53.00         43.77
2944          43.02         43.47
3008          48.92         43.17

Session Time: 20 dk

-----------------------S27---------------------

Power Regression: 
62.65 x^ -0.16  (R^2 = 0.134)

-------------RESULTS----------------
Memory       Measured       Predicted

128          47.61         28.87
192          25.44         27.06
256          18.59         25.84
320          16.52         24.94
384          120.26         24.22
448          18.09         23.63
512          19.09         23.14
576          19.88         22.70
640          17.34         22.33
704          21.85         21.99
768          19.13         21.68
832          18.96         21.41
896          18.33         21.16
960          18.66         20.93
1024          16.86         20.71
1088          14.40         20.51
1152          16.71         20.33
1216          18.48         20.15
1280          16.87         19.99
1344          16.17         19.83
1408          20.49         19.68
1472          16.90         19.54
1536          15.66         19.41
1600          27.07         19.29
1664          18.50         19.17
1728          20.61         19.05
1792          21.09         18.94
1856          17.87         18.83
1920          18.59         18.73
1984          26.46         18.64
2048          15.87         18.54
2112          18.02         18.45
2176          18.81         18.36
2240          15.00         18.28
2304          21.74         18.20
2368          15.80         18.12
2432          18.41         18.04
2496          16.82         17.96
2560          17.59         17.89
2624          20.02         17.82
2688          30.21         17.75
2752          22.69         17.69
2816          20.52         17.62
2880          15.02         17.56
2944          18.79         17.50
3008          19.32         17.44

Session Time: 19 dk

-----------------------S28---------------------

ower Regression: 
379.17 x^ -0.29  (R^2 = 0.77)

-------------RESULTS----------------
Memory       Measured       Predicted

128          160.97         91.71
192          122.62         81.45
256          81.87         74.88
320          79.43         70.15
384          59.56         66.50
448          58.88         63.57
512          54.58         61.14
576          47.13         59.07
640          42.75         57.27
704          48.07         55.70
768          42.35         54.30
832          39.01         53.04
896          43.08         51.90
960          43.93         50.87
1024          44.57         49.92
1088          38.63         49.04
1152          45.62         48.22
1216          40.57         47.47
1280          42.02         46.76
1344          45.08         46.10
1408          41.63         45.48
1472          39.38         44.89
1536          38.50         44.33
1600          38.50         43.81
1664          41.46         43.31
1728          39.74         42.83
1792          41.04         42.38
1856          44.35         41.94
1920          36.99         41.53
1984          48.89         41.13
2048          39.95         40.75
2112          43.12         40.39
2176          41.09         40.04
2240          45.22         39.70
2304          42.27         39.37
2368          38.41         39.06
2432          51.58         38.76
2496          38.68         38.46
2560          40.75         38.18
2624          42.13         37.90
2688          43.15         37.64
2752          50.91         37.38
2816          48.73         37.13
2880          42.38         36.89
2944          41.49         36.65
3008          37.14         36.42

Session Time: 20 dk

-----------------------S29---------------------

Power Regression: 
101.27 x^ -0.20  (R^2 = 0.63)

-------------RESULTS----------------
Memory       Measured       Predicted

128           77.71         39.21
192           43.14         36.22
256           32.71         34.24
320           28.95         32.78
384           29.53         31.63
448           23.04         30.69
512           23.63         29.90
576           26.27         29.22
640           27.74         28.62
704           20.84         28.09
768           23.94         27.62
832           22.31         27.19
896           25.29         26.80
960           30.31         26.44
1024          24.16         26.11
1088          24.19         25.80
1152          23.20         25.51
1216          22.94         25.25
1280          19.34         24.99
1344          22.43         24.76
1408          26.98         24.53
1472          26.47         24.32
1536          25.73         24.12
1600          21.30         23.93
1664          25.80         23.74
1728          26.87         23.57
1792          23.81         23.40
1856          23.45         23.24
1920          26.44         23.09
1984          21.28         22.94
2048          22.18         22.80
2112          22.94         22.66
2176          24.53         22.53
2240          23.93         22.40
2304          22.47         22.28
2368          23.08         22.16
2432          27.54         22.05
2496          20.99         21.93
2560          24.32         21.83
2624          21.68         21.72
2688          20.90         21.62
2752          22.48         21.52
2816          21.55         21.42
2880          26.50         21.33
2944          20.27         21.24
3008          22.67         21.15

Session Time: 20 dk

-----------------------S30---------------------
